n_threads,Time,GFLOPS
2000,0.012343,1296.327714
2000,0.013931,1148.528412
2000,0.012513,1278.698183
2000,0.013536,1182.047244
2000,0.013995,1143.236861
3000,0.036810,1466.996810
3000,0.036987,1459.987265
3000,0.036534,1478.063040
3000,0.036739,1469.831264
3000,0.041707,1294.761214
4000,0.081046,1579.341366
4000,0.081321,1574.008051
4000,0.081417,1572.149818
4000,0.081499,1570.573885
4000,0.088757,1442.142976
5000,0.162774,1535.867293
5000,0.163159,1532.244191
5000,0.163097,1532.830965
5000,0.163086,1532.937116
5000,0.163117,1532.645277
6000,0.278421,1551.604797
6000,0.276049,1564.940363
6000,0.276883,1560.225963
6000,0.276419,1562.846333
6000,0.275953,1565.482758
7000,0.427426,1604.957344
7000,0.428956,1599.230538
7000,0.429223,1598.237682
7000,0.431847,1588.527144
7000,0.432409,1586.462206
8000,0.629603,1626.421954
8000,0.629076,1627.782951
8000,0.629392,1626.966396
8000,0.628618,1628.969297
8000,0.630169,1624.960072
9000,0.907045,1607.418356
9000,0.908532,1604.786805
9000,0.917072,1589.842514
9000,0.909751,1602.636049
9000,0.909617,1602.872441
10000,1.277710,1565.300609
10000,1.277805,1565.184281
10000,1.260258,1586.976852
10000,1.277407,1565.671784
10000,1.261151,1585.852796
11000,1.652308,1611.079632
11000,1.667872,1596.045565
11000,1.650003,1613.330181
11000,1.660695,1602.943371
11000,1.655175,1608.289503
12000,2.139252,1615.518210
12000,2.142689,1612.926187
12000,2.134835,1618.860607
12000,2.137474,1616.861717
12000,2.134943,1618.778236
13000,2.716156,1617.727384
13000,2.718101,1616.569821
13000,2.714143,1618.927235
13000,2.724923,1612.522838
13000,2.712786,1619.737287
14000,3.407767,1610.438512
14000,3.404088,1612.179152
14000,3.410762,1609.024741
14000,3.401246,1613.526102
14000,3.408238,1610.216209
15000,4.189940,1611.001442
15000,4.209380,1603.561444
15000,4.226719,1596.983263
15000,4.184218,1613.204586
15000,4.217694,1600.400560
16000,5.083485,1611.492747
16000,5.089726,1609.516990
16000,5.090403,1609.302698
16000,5.105844,1604.435947
16000,5.089881,1609.467805
17000,6.120428,1605.443235
17000,6.086911,1614.283376
17000,6.093003,1612.669485
17000,6.092461,1612.812969
17000,6.104939,1609.516613
18000,7.227123,1613.920326
18000,7.259876,1606.638929
18000,7.201349,1619.696447
18000,7.214707,1616.697670
18000,7.250247,1608.772861
19000,8.484152,1616.896983
19000,8.423208,1628.595678
19000,8.425832,1628.088467
19000,8.443668,1624.649388
19000,8.455159,1622.441357
20000,9.957684,1606.799269
20000,9.951935,1607.727522
20000,10.011774,1598.118379
20000,9.972193,1604.461561
20000,9.909391,1614.630082
