n_threads,Time,GFLOPS
2000,0.017824,897.657557
2000,0.016197,987.848781
2000,0.016227,985.993713
2000,0.016118,992.702150
2000,0.016429,973.907556
3000,0.040076,1347.449144
3000,0.040269,1340.995983
3000,0.040348,1338.350263
3000,0.040559,1331.382381
3000,0.040534,1332.218908
4000,0.086524,1479.356909
4000,0.086532,1479.224295
4000,0.086658,1477.070222
4000,0.086673,1476.807301
4000,0.086975,1471.682562
5000,0.167750,1490.309945
5000,0.167850,1489.423440
5000,0.167990,1488.185610
5000,0.167585,1491.781697
5000,0.167383,1493.576557
6000,0.277455,1557.010165
6000,0.277693,1555.672047
6000,0.278509,1551.118277
6000,0.277409,1557.270039
6000,0.277633,1556.013678
7000,0.431452,1589.980682
7000,0.432108,1587.566861
7000,0.431861,1588.475640
7000,0.431457,1589.962348
7000,0.430501,1593.493562
8000,0.632495,1618.984283
8000,0.632159,1619.846532
8000,0.632922,1617.892138
8000,0.633263,1617.022242
8000,0.633182,1617.228798
9000,0.901769,1616.821812
9000,0.900200,1619.640508
9000,0.902122,1616.189465
9000,0.902046,1616.326349
9000,0.900389,1619.300730
10000,1.244581,1606.966231
10000,1.245452,1605.842929
10000,1.248495,1601.928381
10000,1.244262,1607.378727
10000,1.245695,1605.530035
11000,1.643486,1619.727342
11000,1.642510,1620.690152
11000,1.640499,1622.677220
11000,1.639993,1623.177414
11000,1.639909,1623.260649
12000,2.128467,1623.704053
12000,2.126955,1624.858300
12000,2.127677,1624.306494
12000,2.129190,1623.152752
12000,2.127017,1624.810416
13000,2.695136,1630.344400
13000,2.698336,1628.411216
13000,2.692784,1631.768380
13000,2.694881,1630.498598
13000,2.692400,1632.001413
14000,3.370951,1628.027143
14000,3.371961,1627.539546
14000,3.370321,1628.331661
14000,3.373541,1626.777527
14000,3.372722,1627.172374
15000,4.160861,1622.260517
15000,4.158064,1623.351554
15000,4.159444,1622.813205
15000,4.159766,1622.687359
15000,4.160776,1622.293409
16000,5.026717,1629.691836
16000,5.013558,1633.969366
16000,5.040328,1625.291063
16000,5.014561,1633.642604
16000,5.042817,1624.488745
17000,6.040292,1626.742502
17000,6.029833,1629.564311
17000,6.046043,1625.195280
17000,6.047723,1624.743744
17000,6.052922,1623.348144
18000,7.142991,1632.929452
18000,7.143600,1632.790274
18000,7.164227,1628.089116
18000,7.154791,1630.236192
18000,7.152787,1630.692977
19000,8.457765,1621.941464
19000,8.466011,1620.361764
19000,8.446785,1624.049831
19000,8.449822,1623.466147
19000,8.449975,1623.436732
20000,9.867801,1621.435267
20000,9.895566,1616.885729
20000,9.890439,1617.723975
20000,9.890063,1617.785411
20000,9.892277,1617.423333
